Plot Title: 10324638,,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10324638, SEN S/N: 10324638)",Coupler Detached (LGR S/N: 10324638),Coupler Attached (LGR S/N: 10324638),Stopped (LGR S/N: 10324638),End Of File (LGR S/N: 10324638)
1,10/1/20 5:00,3.116,Logged,,,
2,10/1/20 5:15,3.116,,,,
3,10/1/20 5:30,3.089,,,,
4,10/1/20 5:45,3.063,,,,
5,10/1/20 6:00,3.063,,,,
6,10/1/20 6:15,3.063,,,,
7,10/1/20 6:30,3.063,,,,
8,10/1/20 6:45,3.063,,,,
9,10/1/20 7:00,3.063,,,,
10,10/1/20 7:15,3.089,,,,
11,10/1/20 7:30,3.089,,,,
12,10/1/20 7:45,3.116,,,,
13,10/1/20 8:00,3.116,,,,
14,10/1/20 8:15,3.142,,,,
15,10/1/20 8:30,3.168,,,,
16,10/1/20 8:45,3.221,,,,
17,10/1/20 9:00,3.248,,,,
18,10/1/20 9:15,3.274,,,,
19,10/1/20 9:30,3.327,,,,
20,10/1/20 9:45,3.38,,,,
21,10/1/20 10:00,3.485,,,,
22,10/1/20 10:15,3.538,,,,
23,10/1/20 10:30,3.591,,,,
24,10/1/20 10:45,3.617,,,,
25,10/1/20 11:00,3.696,,,,
26,10/1/20 11:15,3.775,,,,
27,10/1/20 11:30,3.827,,,,
28,10/1/20 11:45,3.906,,,,
29,10/1/20 12:00,3.932,,,,
30,10/1/20 12:15,3.958,,,,
31,10/1/20 12:30,3.985,,,,
32,10/1/20 12:45,4.011,,,,
33,10/1/20 13:00,4.063,,,,
34,10/1/20 13:15,4.115,,,,
35,10/1/20 13:30,4.141,,,,
36,10/1/20 13:45,4.168,,,,
37,10/1/20 14:00,4.194,,,,
38,10/1/20 14:15,4.246,,,,
39,10/1/20 14:30,4.272,,,,
40,10/1/20 14:45,4.298,,,,
41,10/1/20 15:00,4.35,,,,
42,10/1/20 15:15,4.376,,,,
43,10/1/20 15:30,4.428,,,,
44,10/1/20 15:45,4.428,,,,
45,10/1/20 16:00,4.48,,,,
46,10/1/20 16:15,4.48,,,,
47,10/1/20 16:30,4.506,,,,
48,10/1/20 16:45,4.506,,,,
49,10/1/20 17:00,4.506,,,,
50,10/1/20 17:15,4.532,,,,
51,10/1/20 17:30,4.532,,,,
52,10/1/20 17:45,4.532,,,,
53,10/1/20 18:00,4.532,,,,
54,10/1/20 18:15,4.532,,,,
55,10/1/20 18:30,4.532,,,,
56,10/1/20 18:45,4.532,,,,
57,10/1/20 19:00,4.532,,,,
58,10/1/20 19:15,4.532,,,,
59,10/1/20 19:30,4.532,,,,
60,10/1/20 19:45,4.532,,,,
61,10/1/20 20:00,4.532,,,,
62,10/1/20 20:15,4.558,,,,
63,10/1/20 20:30,4.532,,,,
64,10/1/20 20:45,4.558,,,,
65,10/1/20 21:00,4.532,,,,
66,10/1/20 21:15,4.532,,,,
67,10/1/20 21:30,4.532,,,,
68,10/1/20 21:45,4.506,,,,
69,10/1/20 22:00,4.506,,,,
70,10/1/20 22:15,4.48,,,,
71,10/1/20 22:30,4.48,,,,
72,10/1/20 22:45,4.454,,,,
73,10/1/20 23:00,4.428,,,,
74,10/1/20 23:15,4.428,,,,
75,10/1/20 23:30,4.428,,,,
76,10/1/20 23:45,4.402,,,,
77,10/2/20 0:00,4.376,,,,
78,10/2/20 0:15,4.376,,,,
79,10/2/20 0:30,4.35,,,,
80,10/2/20 0:45,4.324,,,,
81,10/2/20 1:00,4.324,,,,
82,10/2/20 1:15,4.298,,,,
83,10/2/20 1:30,4.272,,,,
84,10/2/20 1:45,4.272,,,,
85,10/2/20 2:00,4.246,,,,
86,10/2/20 2:15,4.22,,,,
87,10/2/20 2:30,4.194,,,,
88,10/2/20 2:45,4.168,,,,
89,10/2/20 3:00,4.168,,,,
90,10/2/20 3:15,4.141,,,,
91,10/2/20 3:30,4.115,,,,
92,10/2/20 3:45,4.063,,,,
93,10/2/20 4:00,4.037,,,,
94,10/2/20 4:15,4.011,,,,
95,10/2/20 4:30,3.985,,,,
96,10/2/20 4:45,3.985,,,,
97,10/2/20 5:00,3.958,,,,
98,10/2/20 5:15,3.906,,,,
99,10/2/20 5:30,3.88,,,,
100,10/2/20 5:45,3.854,,,,
101,10/2/20 6:00,3.827,,,,
102,10/2/20 6:15,3.801,,,,
103,10/2/20 6:30,3.775,,,,
104,10/2/20 6:45,3.749,,,,
105,10/2/20 7:00,3.722,,,,
106,10/2/20 7:15,3.722,,,,
107,10/2/20 7:30,3.696,,,,
108,10/2/20 7:45,3.696,,,,
109,10/2/20 8:00,3.696,,,,
110,10/2/20 8:15,3.696,,,,
111,10/2/20 8:30,3.696,,,,
112,10/2/20 8:45,3.696,,,,
113,10/2/20 9:00,3.722,,,,
114,10/2/20 9:15,3.722,,,,
115,10/2/20 9:30,3.749,,,,
116,10/2/20 9:45,3.749,,,,
117,10/2/20 10:00,3.775,,,,
118,10/2/20 10:15,3.801,,,,
119,10/2/20 10:30,3.827,,,,
120,10/2/20 10:45,3.827,,,,
121,10/2/20 11:00,3.854,,,,
122,10/2/20 11:15,3.88,,,,
123,10/2/20 11:30,3.932,,,,
124,10/2/20 11:45,3.958,,,,
125,10/2/20 12:00,3.985,,,,
126,10/2/20 12:15,4.011,,,,
127,10/2/20 12:30,4.063,,,,
128,10/2/20 12:45,4.063,,,,
129,10/2/20 13:00,4.089,,,,
130,10/2/20 13:15,4.115,,,,
131,10/2/20 13:30,4.141,,,,
132,10/2/20 13:45,4.168,,,,
133,10/2/20 14:00,4.168,,,,
134,10/2/20 14:15,4.194,,,,
135,10/2/20 14:30,4.22,,,,
136,10/2/20 14:45,4.22,,,,
137,10/2/20 15:00,4.22,,,,
138,10/2/20 15:15,4.246,,,,
139,10/2/20 15:30,4.272,,,,
140,10/2/20 15:45,4.272,,,,
141,10/2/20 16:00,4.298,,,,
142,10/2/20 16:15,4.298,,,,
143,10/2/20 16:30,4.298,,,,
144,10/2/20 16:45,4.272,,,,
145,10/2/20 17:00,4.272,,,,
146,10/2/20 17:15,4.246,,,,
147,10/2/20 17:30,4.22,,,,
148,10/2/20 17:45,4.22,,,,
149,10/2/20 18:00,4.194,,,,
150,10/2/20 18:15,4.168,,,,
151,10/2/20 18:30,4.168,,,,
152,10/2/20 18:45,4.141,,,,
153,10/2/20 19:00,4.115,,,,
154,10/2/20 19:15,4.089,,,,
155,10/2/20 19:30,4.063,,,,
156,10/2/20 19:45,4.037,,,,
157,10/2/20 20:00,4.011,,,,
158,10/2/20 20:15,3.985,,,,
159,10/2/20 20:30,3.958,,,,
160,10/2/20 20:45,3.906,,,,
161,10/2/20 21:00,3.88,,,,
162,10/2/20 21:15,3.854,,,,
163,10/2/20 21:30,3.827,,,,
164,10/2/20 21:45,3.749,,,,
165,10/2/20 22:00,3.696,,,,
166,10/2/20 22:15,3.643,,,,
167,10/2/20 22:30,3.617,,,,
168,10/2/20 22:45,3.564,,,,
169,10/2/20 23:00,3.512,,,,
170,10/2/20 23:15,3.459,,,,
171,10/2/20 23:30,3.406,,,,
172,10/2/20 23:45,3.327,,,,
173,10/3/20 0:00,3.274,,,,
174,10/3/20 0:15,3.248,,,,
175,10/3/20 0:30,3.168,,,,
176,10/3/20 0:45,3.142,,,,
177,10/3/20 1:00,3.063,,,,
178,10/3/20 1:15,3.009,,,,
179,10/3/20 1:30,2.956,,,,
180,10/3/20 1:45,2.903,,,,
181,10/3/20 2:00,2.85,,,,
182,10/3/20 2:15,2.797,,,,
183,10/3/20 2:30,2.77,,,,
184,10/3/20 2:45,2.717,,,,
185,10/3/20 3:00,2.664,,,,
186,10/3/20 3:15,2.61,,,,
187,10/3/20 3:30,2.557,,,,
188,10/3/20 3:45,2.503,,,,
189,10/3/20 4:00,2.45,,,,
190,10/3/20 4:15,2.423,,,,
191,10/3/20 4:30,2.37,,,,
192,10/3/20 4:45,2.316,,,,
193,10/3/20 5:00,2.289,,,,
194,10/3/20 5:15,2.236,,,,
195,10/3/20 5:30,2.182,,,,
196,10/3/20 5:45,2.155,,,,
197,10/3/20 6:00,2.101,,,,
198,10/3/20 6:15,2.074,,,,
199,10/3/20 6:30,2.047,,,,
200,10/3/20 6:45,2.047,,,,
201,10/3/20 7:00,2.021,,,,
202,10/3/20 7:15,1.994,,,,
203,10/3/20 7:30,1.967,,,,
204,10/3/20 7:45,1.94,,,,
205,10/3/20 8:00,1.94,,,,
206,10/3/20 8:15,1.94,,,,
207,10/3/20 8:30,1.94,,,,
208,10/3/20 8:45,1.94,,,,
209,10/3/20 9:00,1.94,,,,
210,10/3/20 9:15,1.94,,,,
211,10/3/20 9:30,1.967,,,,
212,10/3/20 9:45,1.994,,,,
213,10/3/20 10:00,2.047,,,,
214,10/3/20 10:15,2.047,,,,
215,10/3/20 10:30,2.101,,,,
216,10/3/20 10:45,2.101,,,,
217,10/3/20 11:00,2.155,,,,
218,10/3/20 11:15,2.182,,,,
219,10/3/20 11:30,2.236,,,,
220,10/3/20 11:45,2.262,,,,
221,10/3/20 12:00,2.316,,,,
222,10/3/20 12:15,2.37,,,,
223,10/3/20 12:30,2.396,,,,
224,10/3/20 12:45,2.423,,,,
225,10/3/20 13:00,2.477,,,,
226,10/3/20 13:15,2.53,,,,
227,10/3/20 13:30,2.584,,,,
228,10/3/20 13:45,2.61,,,,
229,10/3/20 14:00,2.637,,,,
230,10/3/20 14:15,2.69,,,,
231,10/3/20 14:30,2.69,,,,
232,10/3/20 14:45,2.744,,,,
233,10/3/20 15:00,2.77,,,,
234,10/3/20 15:15,2.797,,,,
235,10/3/20 15:30,2.85,,,,
236,10/3/20 15:45,2.877,,,,
237,10/3/20 16:00,2.877,,,,
238,10/3/20 16:15,2.903,,,,
239,10/3/20 16:30,2.903,,,,
240,10/3/20 16:45,2.877,,,,
241,10/3/20 17:00,2.877,,,,
242,10/3/20 17:15,2.877,,,,
243,10/3/20 17:30,2.877,,,,
244,10/3/20 17:45,2.85,,,,
245,10/3/20 18:00,2.85,,,,
246,10/3/20 18:15,2.85,,,,
247,10/3/20 18:30,2.85,,,,
248,10/3/20 18:45,2.85,,,,
249,10/3/20 19:00,2.85,,,,
250,10/3/20 19:15,2.85,,,,
251,10/3/20 19:30,2.823,,,,
252,10/3/20 19:45,2.823,,,,
253,10/3/20 20:00,2.797,,,,
254,10/3/20 20:15,2.797,,,,
255,10/3/20 20:30,2.77,,,,
256,10/3/20 20:45,2.744,,,,
257,10/3/20 21:00,2.744,,,,
258,10/3/20 21:15,2.717,,,,
259,10/3/20 21:30,2.69,,,,
260,10/3/20 21:45,2.69,,,,
261,10/3/20 22:00,2.664,,,,
262,10/3/20 22:15,2.637,,,,
263,10/3/20 22:30,2.637,,,,
264,10/3/20 22:45,2.61,,,,
265,10/3/20 23:00,2.584,,,,
266,10/3/20 23:15,2.557,,,,
267,10/3/20 23:30,2.53,,,,
268,10/3/20 23:45,2.503,,,,
269,10/4/20 0:00,2.503,,,,
270,10/4/20 0:15,2.477,,,,
271,10/4/20 0:30,2.477,,,,
272,10/4/20 0:45,2.45,,,,
273,10/4/20 1:00,2.45,,,,
274,10/4/20 1:15,2.423,,,,
275,10/4/20 1:30,2.423,,,,
276,10/4/20 1:45,2.396,,,,
277,10/4/20 2:00,2.37,,,,
278,10/4/20 2:15,2.37,,,,
279,10/4/20 2:30,2.343,,,,
280,10/4/20 2:45,2.343,,,,
281,10/4/20 3:00,2.316,,,,
282,10/4/20 3:15,2.316,,,,
283,10/4/20 3:30,2.316,,,,
284,10/4/20 3:45,2.289,,,,
285,10/4/20 4:00,2.289,,,,
286,10/4/20 4:15,2.262,,,,
287,10/4/20 4:30,2.262,,,,
288,10/4/20 4:45,2.262,,,,
289,10/4/20 5:00,2.236,,,,
290,10/4/20 5:15,2.236,,,,
291,10/4/20 5:30,2.209,,,,
292,10/4/20 5:45,2.209,,,,
293,10/4/20 6:00,2.209,,,,
294,10/4/20 6:15,2.182,,,,
295,10/4/20 6:30,2.182,,,,
296,10/4/20 6:45,2.182,,,,
297,10/4/20 7:00,2.182,,,,
298,10/4/20 7:15,2.182,,,,
299,10/4/20 7:30,2.182,,,,
300,10/4/20 7:45,2.182,,,,
301,10/4/20 8:00,2.209,,,,
302,10/4/20 8:15,2.209,,,,
303,10/4/20 8:30,2.236,,,,
304,10/4/20 8:45,2.262,,,,
305,10/4/20 9:00,2.262,,,,
306,10/4/20 9:15,2.289,,,,
307,10/4/20 9:30,2.343,,,,
308,10/4/20 9:45,2.37,,,,
309,10/4/20 10:00,2.423,,,,
310,10/4/20 10:15,2.45,,,,
311,10/4/20 10:30,2.477,,,,
312,10/4/20 10:45,2.503,,,,
313,10/4/20 11:00,2.557,,,,
314,10/4/20 11:15,2.584,,,,
315,10/4/20 11:30,2.637,,,,
316,10/4/20 11:45,2.69,,,,
317,10/4/20 12:00,2.717,,,,
318,10/4/20 12:15,2.744,,,,
319,10/4/20 12:30,2.797,,,,
320,10/4/20 12:45,2.823,,,,
321,10/4/20 13:00,2.877,,,,
322,10/4/20 13:15,2.903,,,,
323,10/4/20 13:30,2.93,,,,
324,10/4/20 13:45,2.956,,,,
325,10/4/20 14:00,2.983,,,,
326,10/4/20 14:15,3.009,,,,
327,10/4/20 14:30,3.036,,,,
328,10/4/20 14:45,3.063,,,,
329,10/4/20 15:00,3.089,,,,
330,10/4/20 15:15,3.116,,,,
331,10/4/20 15:30,3.116,,,,
332,10/4/20 15:45,3.089,,,,
333,10/4/20 16:00,3.089,,,,
334,10/4/20 16:15,3.063,,,,
335,10/4/20 16:30,3.063,,,,
336,10/4/20 16:45,3.036,,,,
337,10/4/20 17:00,3.009,,,,
338,10/4/20 17:15,3.009,,,,
339,10/4/20 17:30,2.983,,,,
340,10/4/20 17:45,2.956,,,,
341,10/4/20 18:00,2.93,,,,
342,10/4/20 18:15,2.903,,,,
343,10/4/20 18:30,2.85,,,,
344,10/4/20 18:45,2.823,,,,
345,10/4/20 19:00,2.797,,,,
346,10/4/20 19:15,2.744,,,,
347,10/4/20 19:30,2.69,,,,
348,10/4/20 19:45,2.664,,,,
349,10/4/20 20:00,2.61,,,,
350,10/4/20 20:15,2.584,,,,
351,10/4/20 20:30,2.557,,,,
