Plot Title: 10530402,,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10530402, SEN S/N: 10530402)",Coupler Detached (LGR S/N: 10530402),Coupler Attached (LGR S/N: 10530402),Stopped (LGR S/N: 10530402),End Of File (LGR S/N: 10530402)
1,7/21/20 12:00,17.011,Logged,,,
2,7/21/20 12:15,16.725,,,,
3,7/21/20 12:30,16.344,,,,
4,7/21/20 12:45,15.986,,,,
5,7/21/20 13:00,15.629,,,,
6,7/21/20 13:15,15.366,,,,
7,7/21/20 13:30,15.008,,,,
8,7/21/20 13:45,13.377,,,,
9,7/21/20 14:00,11.686,,,,
10,7/21/20 14:15,10.883,,,,
11,7/21/20 14:30,10.736,,,,
12,7/21/20 14:45,11.005,,,,
13,7/21/20 15:00,13.81,,,,
14,7/21/20 15:15,13.377,,,,
15,7/21/20 15:30,12.582,,,,
16,7/21/20 15:45,12.534,,,,
17,7/21/20 16:00,12.871,,,,
18,7/21/20 16:15,13.233,,,,
19,7/21/20 16:30,13.522,,,,
20,7/21/20 16:45,13.377,,,,
21,7/21/20 17:00,13.329,,,,
22,7/21/20 17:15,13.353,,,,
23,7/21/20 17:30,13.425,,,,
24,7/21/20 17:45,13.473,,,,
25,7/21/20 18:00,13.329,,,,
26,7/21/20 18:15,13.353,,,,
27,7/21/20 18:30,13.449,,,,
28,7/21/20 18:45,13.425,,,,
29,7/21/20 19:00,13.377,,,,
30,7/21/20 19:15,13.257,,,,
31,7/21/20 19:30,13.185,,,,
32,7/21/20 19:45,13.209,,,,
33,7/21/20 20:00,13.209,,,,
34,7/21/20 20:15,13.233,,,,
35,7/21/20 20:30,13.161,,,,
36,7/21/20 20:45,12.992,,,,
37,7/21/20 21:00,12.751,,,,
38,7/21/20 21:15,12.558,,,,
39,7/21/20 21:30,12.364,,,,
40,7/21/20 21:45,12.171,,,,
41,7/21/20 22:00,12.001,,,,
42,7/21/20 22:15,11.832,,,,
43,7/21/20 22:30,11.686,,,,
44,7/21/20 22:45,11.516,,,,
45,7/21/20 23:00,11.394,,,,
46,7/21/20 23:15,11.297,,,,
47,7/21/20 23:30,11.2,,,,
48,7/21/20 23:45,11.127,,,,
49,7/22/20 0:00,11.053,,,,
50,7/22/20 0:15,10.98,,,,
51,7/22/20 0:30,10.907,,,,
52,7/22/20 0:45,10.834,,,,
53,7/22/20 1:00,10.761,,,,
54,7/22/20 1:15,10.712,,,,
55,7/22/20 1:30,10.663,,,,
56,7/22/20 1:45,10.638,,,,
57,7/22/20 2:00,10.59,,,,
58,7/22/20 2:15,10.565,,,,
59,7/22/20 2:30,10.541,,,,
60,7/22/20 2:45,10.516,,,,
61,7/22/20 3:00,10.492,,,,
62,7/22/20 3:15,10.467,,,,
63,7/22/20 3:30,10.443,,,,
64,7/22/20 3:45,10.418,,,,
65,7/22/20 4:00,10.394,,,,
66,7/22/20 4:15,10.345,,,,
67,7/22/20 4:30,10.32,,,,
68,7/22/20 4:45,10.271,,,,
69,7/22/20 5:00,10.247,,,,
70,7/22/20 5:15,10.222,,,,
71,7/22/20 5:30,10.198,,,,
72,7/22/20 5:45,10.198,,,,
73,7/22/20 6:00,10.222,,,,
74,7/22/20 6:15,10.247,,,,
75,7/22/20 6:30,10.296,,,,
76,7/22/20 6:45,10.345,,,,
77,7/22/20 7:00,10.394,,,,
78,7/22/20 7:15,10.443,,,,
79,7/22/20 7:30,10.516,,,,
80,7/22/20 7:45,10.59,,,,
81,7/22/20 8:00,10.687,,,,
82,7/22/20 8:15,10.81,,,,
83,7/22/20 8:30,10.907,,,,
84,7/22/20 8:45,11.078,,,,
85,7/22/20 9:00,11.297,,,,
86,7/22/20 9:15,11.783,,,,
87,7/22/20 9:30,12.34,,,,
88,7/22/20 9:45,12.847,,,,
89,7/22/20 10:00,13.281,,,,
90,7/22/20 10:15,13.449,,,,
91,7/22/20 10:30,13.978,,,,
92,7/22/20 10:45,14.721,,,,
93,7/22/20 11:00,15.939,,,,
94,7/22/20 11:15,16.606,,,,
95,7/22/20 11:30,17.153,,,,
96,7/22/20 11:45,17.724,,,,
97,7/22/20 12:00,17.867,,,,
98,7/22/20 12:15,17.748,,,,
99,7/22/20 12:30,18.604,,,,
100,7/22/20 12:45,19.318,,,,
101,7/22/20 13:00,20.15,,,,
102,7/22/20 13:15,20.126,,,,
103,7/22/20 13:30,19.912,,,,
104,7/22/20 13:45,20.841,,,,
105,7/22/20 14:00,22.178,,,,
106,7/22/20 14:15,22.417,,,,
107,7/22/20 14:30,21.652,,,,
108,7/22/20 14:45,18.842,,,,
109,7/22/20 15:00,18.557,,,,
110,7/22/20 15:15,18.39,,,,
111,7/22/20 15:30,19.746,,,,
112,7/22/20 15:45,20.388,,,,
113,7/22/20 16:00,20.222,,,,
114,7/22/20 16:15,19.651,,,,
115,7/22/20 16:30,19.746,,,,
116,7/22/20 16:45,20.722,,,,
117,7/22/20 17:00,20.531,,,,
118,7/22/20 17:15,19.722,,,,
119,7/22/20 17:30,19.27,,,,
120,7/22/20 17:45,18.604,,,,
121,7/22/20 18:00,18.105,,,,
122,7/22/20 18:15,17.724,,,,
123,7/22/20 18:30,17.439,,,,
124,7/22/20 18:45,17.106,,,,
125,7/22/20 19:00,16.82,,,,
126,7/22/20 19:15,16.654,,,,
127,7/22/20 19:30,16.582,,,,
128,7/22/20 19:45,16.439,,,,
129,7/22/20 20:00,16.272,,,,
130,7/22/20 20:15,16.129,,,,
131,7/22/20 20:30,16.034,,,,
132,7/22/20 20:45,15.939,,,,
133,7/22/20 21:00,15.843,,,,
134,7/22/20 21:15,15.652,,,,
135,7/22/20 21:30,15.438,,,,
136,7/22/20 21:45,15.247,,,,
137,7/22/20 22:00,15.103,,,,
138,7/22/20 22:15,14.888,,,,
139,7/22/20 22:30,14.697,,,,
140,7/22/20 22:45,14.481,,,,
141,7/22/20 23:00,14.29,,,,
142,7/22/20 23:15,14.05,,,,
143,7/22/20 23:30,13.834,,,,
144,7/22/20 23:45,13.618,,,,
145,7/23/20 0:00,13.377,,,,
146,7/23/20 0:15,13.161,,,,
147,7/23/20 0:30,12.944,,,,
148,7/23/20 0:45,12.775,,,,
149,7/23/20 1:00,12.606,,,,
150,7/23/20 1:15,12.413,,,,
151,7/23/20 1:30,12.195,,,,
152,7/23/20 1:45,11.953,,,,
153,7/23/20 2:00,11.71,,,,
154,7/23/20 2:15,11.516,,,,
155,7/23/20 2:30,11.394,,,,
156,7/23/20 2:45,11.297,,,,
157,7/23/20 3:00,11.248,,,,
158,7/23/20 3:15,11.2,,,,
159,7/23/20 3:30,11.175,,,,
160,7/23/20 3:45,11.175,,,,
161,7/23/20 4:00,11.175,,,,
162,7/23/20 4:15,11.151,,,,
163,7/23/20 4:30,11.127,,,,
164,7/23/20 4:45,11.078,,,,
165,7/23/20 5:00,11.053,,,,
166,7/23/20 5:15,11.029,,,,
167,7/23/20 5:30,11.005,,,,
168,7/23/20 5:45,11.005,,,,
169,7/23/20 6:00,11.005,,,,
170,7/23/20 6:15,11.005,,,,
171,7/23/20 6:30,10.98,,,,
172,7/23/20 6:45,10.98,,,,
173,7/23/20 7:00,11.029,,,,
174,7/23/20 7:15,11.102,,,,
175,7/23/20 7:30,11.2,,,,
176,7/23/20 7:45,11.394,,,,
177,7/23/20 8:00,11.613,,,,
178,7/23/20 8:15,11.856,,,,
179,7/23/20 8:30,12.025,,,,
180,7/23/20 8:45,12.437,,,,
181,7/23/20 9:00,13.233,,,,
182,7/23/20 9:15,13.954,,,,
183,7/23/20 9:30,14.337,,,,
184,7/23/20 9:45,14.529,,,,
185,7/23/20 10:00,14.385,,,,
186,7/23/20 10:15,14.936,,,,
187,7/23/20 10:30,15.342,,,,
188,7/23/20 10:45,15.915,,,,
189,7/23/20 11:00,16.296,,,,
190,7/23/20 11:15,16.487,,,,
191,7/23/20 11:30,16.987,,,,
192,7/23/20 11:45,17.748,,,,
193,7/23/20 12:00,17.605,,,,
194,7/23/20 12:15,18.343,,,,
195,7/23/20 12:30,19.056,,,,
196,7/23/20 12:45,19.127,,,,
197,7/23/20 13:00,20.031,,,,
198,7/23/20 13:15,27.579,,,,
199,7/23/20 13:30,27.776,,,,
200,7/23/20 13:45,26.036,,,,
201,7/23/20 14:00,24.363,,,,
202,7/23/20 14:15,22.968,,,,
203,7/23/20 14:30,22.729,,,,
204,7/23/20 14:45,6.051,,,,
205,7/23/20 15:00,4.869,,,,
206,7/23/20 15:15,4.947,,,,
207,7/23/20 15:30,5.05,,,,
208,7/23/20 15:45,5.154,,,,
209,7/23/20 16:00,5.257,,,,
210,7/23/20 16:15,5.308,,,,
211,7/23/20 16:30,5.411,,,,
212,7/23/20 16:45,5.462,,,,
213,7/23/20 17:00,5.514,,,,
214,7/23/20 17:15,5.591,,,,
215,7/23/20 17:30,5.668,,,,
216,7/23/20 17:45,5.719,,,,
217,7/23/20 18:00,5.745,,,,
218,7/23/20 18:15,5.77,,,,
219,7/23/20 18:30,5.745,,,,
220,7/23/20 18:45,5.77,,,,
221,7/23/20 19:00,5.77,,,,
222,7/23/20 19:15,5.821,,,,
223,7/23/20 19:30,5.821,,,,
224,7/23/20 19:45,5.847,,,,
225,7/23/20 20:00,5.872,,,,
226,7/23/20 20:15,5.872,,,,
227,7/23/20 20:30,5.872,,,,
228,7/23/20 20:45,5.847,,,,
229,7/23/20 21:00,5.847,,,,
230,7/23/20 21:15,5.821,,,,
231,7/23/20 21:30,5.796,,,,
232,7/23/20 21:45,5.745,,,,
233,7/23/20 22:00,5.719,,,,
234,7/23/20 22:15,5.668,,,,
235,7/23/20 22:30,5.616,,,,
236,7/23/20 22:45,5.565,,,,
237,7/23/20 23:00,5.514,,,,
238,7/23/20 23:15,5.437,,,,
239,7/23/20 23:30,5.411,,,,
240,7/23/20 23:45,5.334,,,,
241,7/24/20 0:00,5.257,,,,
242,7/24/20 0:15,5.205,,,,
243,7/24/20 0:30,5.128,,,,
244,7/24/20 0:45,5.076,,,,
245,7/24/20 1:00,4.999,,,,
246,7/24/20 1:15,4.947,,,,
247,7/24/20 1:30,4.869,,,,
248,7/24/20 1:45,4.818,,,,
249,7/24/20 2:00,4.766,,,,
250,7/24/20 2:15,4.714,,,,
251,7/24/20 2:30,4.662,,,,
252,7/24/20 2:45,4.61,,,,
253,7/24/20 3:00,4.558,,,,
254,7/24/20 3:15,4.506,,,,
255,7/24/20 3:30,4.454,,,,
256,7/24/20 3:45,4.402,,,,
257,7/24/20 4:00,4.35,,,,
258,7/24/20 4:15,4.298,,,,
259,7/24/20 4:30,4.246,,,,
260,7/24/20 4:45,4.194,,,,
261,7/24/20 5:00,4.141,,,,
262,7/24/20 5:15,4.089,,,,
263,7/24/20 5:30,4.037,,,,
264,7/24/20 5:45,3.985,,,,
265,7/24/20 6:00,3.958,,,,
266,7/24/20 6:15,3.906,,,,
267,7/24/20 6:30,3.88,,,,
268,7/24/20 6:45,3.854,,,,
269,7/24/20 7:00,3.827,,,,
270,7/24/20 7:15,3.801,,,,
271,7/24/20 7:30,3.801,,,,
272,7/24/20 7:45,3.775,,,,
273,7/24/20 8:00,3.775,,,,
274,7/24/20 8:15,3.775,,,,
275,7/24/20 8:30,3.775,,,,
276,7/24/20 8:45,3.775,,,,
277,7/24/20 9:00,3.801,,,,
278,7/24/20 9:15,3.801,,,,
279,7/24/20 9:30,3.827,,,,
280,7/24/20 9:45,3.854,,,,
281,7/24/20 10:00,3.906,,,,
282,7/24/20 10:15,3.958,,,,
283,7/24/20 10:30,4.011,,,,
284,7/24/20 10:45,4.063,,,,
285,7/24/20 11:00,4.141,,,,
286,7/24/20 11:15,4.194,,,,
287,7/24/20 11:30,4.272,,,,
288,7/24/20 11:45,4.324,,,,
289,7/24/20 12:00,4.428,,,,
290,7/24/20 12:15,4.48,,,,
291,7/24/20 12:30,4.558,,,,
292,7/24/20 12:45,4.61,,,,
293,7/24/20 13:00,4.662,,,,
294,7/24/20 13:15,4.714,,,,
295,7/24/20 13:30,4.74,,,,
296,7/24/20 13:45,4.792,,,,
297,7/24/20 14:00,4.818,,,,
298,7/24/20 14:15,4.844,,,,
299,7/24/20 14:30,4.844,,,,
300,7/24/20 14:45,4.844,,,,
301,7/24/20 15:00,4.844,,,,
302,7/24/20 15:15,4.844,,,,
303,7/24/20 15:30,4.818,,,,
304,7/24/20 15:45,4.818,,,,
305,7/24/20 16:00,4.818,,,,
306,7/24/20 16:15,4.844,,,,
307,7/24/20 16:30,4.844,,,,
308,7/24/20 16:45,4.869,,,,
309,7/24/20 17:00,4.895,,,,
310,7/24/20 17:15,4.921,,,,
311,7/24/20 17:30,4.947,,,,
312,7/24/20 17:45,4.999,,,,
313,7/24/20 18:00,5.05,,,,
314,7/24/20 18:15,5.076,,,,
315,7/24/20 18:30,5.102,,,,
316,7/24/20 18:45,5.102,,,,
317,7/24/20 19:00,5.128,,,,
318,7/24/20 19:15,5.154,,,,
319,7/24/20 19:30,5.179,,,,
320,7/24/20 19:45,5.154,,,,
321,7/24/20 20:00,5.154,,,,
322,7/24/20 20:15,5.154,,,,
323,7/24/20 20:30,5.128,,,,
324,7/24/20 20:45,5.102,,,,
325,7/24/20 21:00,5.05,,,,
326,7/24/20 21:15,5.05,,,,
327,7/24/20 21:30,4.999,,,,
328,7/24/20 21:45,4.973,,,,
329,7/24/20 22:00,4.947,,,,
330,7/24/20 22:15,4.895,,,,
331,7/24/20 22:30,4.869,,,,
332,7/24/20 22:45,4.818,,,,
333,7/24/20 23:00,4.792,,,,
334,7/24/20 23:15,4.74,,,,
335,7/24/20 23:30,4.688,,,,
336,7/24/20 23:45,4.662,,,,
337,7/25/20 0:00,4.61,,,,
338,7/25/20 0:15,4.584,,,,
339,7/25/20 0:30,4.506,,,,
340,7/25/20 0:45,4.48,,,,
341,7/25/20 1:00,4.428,,,,
342,7/25/20 1:15,4.376,,,,
343,7/25/20 1:30,4.324,,,,
344,7/25/20 1:45,4.272,,,,
345,7/25/20 2:00,4.22,,,,
346,7/25/20 2:15,4.194,,,,
347,7/25/20 2:30,4.168,,,,
348,7/25/20 2:45,4.115,,,,
349,7/25/20 3:00,4.063,,,,
350,7/25/20 3:15,4.037,,,,
351,7/25/20 3:30,3.985,,,,
352,7/25/20 3:45,3.958,,,,
353,7/25/20 4:00,3.906,,,,
354,7/25/20 4:15,3.88,,,,
355,7/25/20 4:30,3.854,,,,
356,7/25/20 4:45,3.801,,,,
357,7/25/20 5:00,3.775,,,,
358,7/25/20 5:15,3.749,,,,
359,7/25/20 5:30,3.696,,,,
360,7/25/20 5:45,3.67,,,,
361,7/25/20 6:00,3.643,,,,
362,7/25/20 6:15,3.617,,,,
363,7/25/20 6:30,3.591,,,,
364,7/25/20 6:45,3.591,,,,
365,7/25/20 7:00,3.564,,,,
366,7/25/20 7:15,3.538,,,,
367,7/25/20 7:30,3.538,,,,
368,7/25/20 7:45,3.538,,,,
369,7/25/20 8:00,3.538,,,,
370,7/25/20 8:15,3.512,,,,
371,7/25/20 8:30,3.538,,,,
372,7/25/20 8:45,3.538,,,,
373,7/25/20 9:00,3.538,,,,
374,7/25/20 9:15,3.538,,,,
375,7/25/20 9:30,3.564,,,,
376,7/25/20 9:45,3.591,,,,
377,7/25/20 10:00,3.617,,,,
378,7/25/20 10:15,3.643,,,,
379,7/25/20 10:30,3.696,,,,
380,7/25/20 10:45,3.749,,,,
381,7/25/20 11:00,3.801,,,,
382,7/25/20 11:15,3.854,,,,
383,7/25/20 11:30,3.906,,,,
384,7/25/20 11:45,3.958,,,,
385,7/25/20 12:00,4.037,,,,
386,7/25/20 12:15,4.089,,,,
387,7/25/20 12:30,4.141,,,,
388,7/25/20 12:45,4.194,,,,
389,7/25/20 13:00,4.272,,,,
390,7/25/20 13:15,4.324,,,,
391,7/25/20 13:30,4.376,,,,
392,7/25/20 13:45,4.428,,,,
393,7/25/20 14:00,4.506,,,,
394,7/25/20 14:15,4.532,,,,
395,7/25/20 14:30,4.61,,,,
396,7/25/20 14:45,4.688,,,,
397,7/25/20 15:00,4.74,,,,
398,7/25/20 15:15,4.818,,,,
399,7/25/20 15:30,4.921,,,,
400,7/25/20 15:45,4.999,,,,
401,7/25/20 16:00,5.102,,,,
402,7/25/20 16:15,5.154,,,,
403,7/25/20 16:30,5.231,,,,
404,7/25/20 16:45,5.308,,,,
405,7/25/20 17:00,5.36,,,,
406,7/25/20 17:15,5.411,,,,
407,7/25/20 17:30,5.437,,,,
408,7/25/20 17:45,5.462,,,,
409,7/25/20 18:00,5.462,,,,
410,7/25/20 18:15,5.488,,,,
411,7/25/20 18:30,5.514,,,,
412,7/25/20 18:45,5.514,,,,
413,7/25/20 19:00,5.539,,,,
414,7/25/20 19:15,5.539,,,,
415,7/25/20 19:30,5.565,,,,
416,7/25/20 19:45,5.565,,,,
417,7/25/20 20:00,5.565,,,,
418,7/25/20 20:15,5.565,,,,
419,7/25/20 20:30,5.565,,,,
420,7/25/20 20:45,5.565,,,,
421,7/25/20 21:00,5.565,,,,
422,7/25/20 21:15,5.565,,,,
423,7/25/20 21:30,5.539,,,,
424,7/25/20 21:45,5.514,,,,
425,7/25/20 22:00,5.488,,,,
426,7/25/20 22:15,5.462,,,,
427,7/25/20 22:30,5.411,,,,
428,7/25/20 22:45,5.385,,,,
429,7/25/20 23:00,5.36,,,,
430,7/25/20 23:15,5.308,,,,
431,7/25/20 23:30,5.257,,,,
432,7/25/20 23:45,5.205,,,,
433,7/26/20 0:00,5.128,,,,
434,7/26/20 0:15,5.05,,,,
435,7/26/20 0:30,4.999,,,,
436,7/26/20 0:45,4.947,,,,
437,7/26/20 1:00,4.869,,,,
438,7/26/20 1:15,4.792,,,,
439,7/26/20 1:30,4.714,,,,
440,7/26/20 1:45,4.662,,,,
441,7/26/20 2:00,4.584,,,,
442,7/26/20 2:15,4.506,,,,
443,7/26/20 2:30,4.454,,,,
444,7/26/20 2:45,4.376,,,,
445,7/26/20 3:00,4.324,,,,
446,7/26/20 3:15,4.272,,,,
447,7/26/20 3:30,4.22,,,,
448,7/26/20 3:45,4.168,,,,
449,7/26/20 4:00,4.115,,,,
450,7/26/20 4:15,4.063,,,,
451,7/26/20 4:30,4.011,,,,
452,7/26/20 4:45,3.958,,,,
453,7/26/20 5:00,3.932,,,,
454,7/26/20 5:15,3.88,,,,
455,7/26/20 5:30,3.827,,,,
456,7/26/20 5:45,3.801,,,,
457,7/26/20 6:00,3.749,,,,
458,7/26/20 6:15,3.696,,,,
459,7/26/20 6:30,3.67,,,,
460,7/26/20 6:45,3.643,,,,
461,7/26/20 7:00,3.591,,,,
462,7/26/20 7:15,3.591,,,,
463,7/26/20 7:30,3.564,,,,
464,7/26/20 7:45,3.564,,,,
465,7/26/20 8:00,3.564,,,,
466,7/26/20 8:15,3.591,,,,
467,7/26/20 8:30,3.617,,,,
468,7/26/20 8:45,3.643,,,,
469,7/26/20 9:00,3.696,,,,
470,7/26/20 9:15,3.749,,,,
471,7/26/20 9:30,3.827,,,,
472,7/26/20 9:45,3.88,,,,
473,7/26/20 10:00,3.958,,,,
474,7/26/20 10:15,4.037,,,,
475,7/26/20 10:30,4.115,,,,
476,7/26/20 10:45,4.22,,,,
477,7/26/20 11:00,4.35,,,,
478,7/26/20 11:15,4.48,,,,
479,7/26/20 11:30,4.584,,,,
480,7/26/20 11:45,4.662,,,,
481,7/26/20 12:00,4.792,,,,
482,7/26/20 12:15,4.895,,,,
483,7/26/20 12:30,5.05,,,,
484,7/26/20 12:45,5.205,,,,
485,7/26/20 13:00,5.308,,,,
486,7/26/20 13:15,5.385,,,,
487,7/26/20 13:30,5.462,,,,
488,7/26/20 13:45,5.539,,,,
489,7/26/20 14:00,5.591,,,,
490,7/26/20 14:15,5.616,,,,
491,7/26/20 14:30,5.616,,,,
492,7/26/20 14:45,5.565,,,,
493,7/26/20 15:00,5.539,,,,
494,7/26/20 15:15,5.514,,,,
495,7/26/20 15:30,5.462,,,,
496,7/26/20 15:45,5.437,,,,
497,7/26/20 16:00,5.437,,,,
498,7/26/20 16:15,5.462,,,,
499,7/26/20 16:30,5.514,,,,
500,7/26/20 16:45,5.565,,,,
501,7/26/20 17:00,5.616,,,,
502,7/26/20 17:15,5.693,,,,
503,7/26/20 17:30,5.77,,,,
504,7/26/20 17:45,5.847,,,,
505,7/26/20 18:00,5.949,,,,
506,7/26/20 18:15,6,,,,
507,7/26/20 18:30,6.051,,,,
508,7/26/20 18:45,6.077,,,,
509,7/26/20 19:00,6.128,,,,
510,7/26/20 19:15,6.128,,,,
511,7/26/20 19:30,6.102,,,,
512,7/26/20 19:45,6.102,,,,
513,7/26/20 20:00,6.077,,,,
514,7/26/20 20:15,6.051,,,,
515,7/26/20 20:30,6.026,,,,
516,7/26/20 20:45,5.975,,,,
517,7/26/20 21:00,5.924,,,,
518,7/26/20 21:15,5.872,,,,
519,7/26/20 21:30,5.821,,,,
520,7/26/20 21:45,5.796,,,,
521,7/26/20 22:00,5.745,,,,
522,7/26/20 22:15,5.693,,,,
523,7/26/20 22:30,5.616,,,,
524,7/26/20 22:45,5.565,,,,
525,7/26/20 23:00,5.514,,,,
526,7/26/20 23:15,5.462,,,,
527,7/26/20 23:30,5.411,,,,
528,7/26/20 23:45,5.36,,,,
529,7/27/20 0:00,5.308,,,,
530,7/27/20 0:15,5.257,,,,
531,7/27/20 0:30,5.205,,,,
532,7/27/20 0:45,5.154,,,,
533,7/27/20 1:00,5.102,,,,
534,7/27/20 1:15,5.024,,,,
535,7/27/20 1:30,4.973,,,,
536,7/27/20 1:45,4.921,,,,
537,7/27/20 2:00,4.844,,,,
538,7/27/20 2:15,4.792,,,,
539,7/27/20 2:30,4.74,,,,
540,7/27/20 2:45,4.688,,,,
541,7/27/20 3:00,4.636,,,,
542,7/27/20 3:15,4.584,,,,
543,7/27/20 3:30,4.532,,,,
544,7/27/20 3:45,4.454,,,,
545,7/27/20 4:00,4.428,,,,
546,7/27/20 4:15,4.376,,,,
547,7/27/20 4:30,4.324,,,,
548,7/27/20 4:45,4.298,,,,
549,7/27/20 5:00,4.246,,,,
550,7/27/20 5:15,4.194,,,,
551,7/27/20 5:30,4.168,,,,
552,7/27/20 5:45,4.141,,,,
553,7/27/20 6:00,4.089,,,,
554,7/27/20 6:15,4.063,,,,
555,7/27/20 6:30,4.037,,,,
556,7/27/20 6:45,4.011,,,,
